individual_1 individual_2 pedigree.relationship pedigree.degree kin kin0 ibs0 ibs1 ibs2 ibs02 ibs12 ibs01 j1 j2 j3 j4 j5 j6 j7 j8 j9
Test1_g2-b1-s2 Test1_g4-b1-i40 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s5 Test1_g4-b1-i10 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g1-b1-s1 Test1_g2-b1-s1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s8 Test1_g2-b7-i1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b1-s2 Test1_g4-b1-i9 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s6 Test1_g2-b3-s15 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s17 Test1_g2-b8-i1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g1-b1-s1 Test1_g2-b3-s8 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b2-s1 Test1_g2-b3-s10 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s7 Test1_g4-b1-i12 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b1-s3 Test1_g3-b9-i1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b2-s2 Test1_g4-b1-i46 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s8 Test1_g4-b1-i25 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b1-s3 Test1_g2-b3-s9 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s2 Test1_g4-b1-i15 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s5 Test1_g3-b16-i1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b1-s4 Test1_g4-b1-i26 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-i1 Test1_g2-b3-s7 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b1-s5 Test1_g4-b1-i30 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-i1 Test1_g2-b3-s5 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s4 Test1_g4-b1-i23 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s3 Test1_g4-b1-i44 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s3 Test1_g3-b25-i1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s4 Test1_g2-b13-i1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b2-s1 Test1_g4-b1-i17 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b1-s3 Test1_g4-b1-i10 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s14 Test1_g4-b1-i41 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s4 Test1_g2-b3-s16 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s14 Test1_g4-b1-i36 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b1-s5 Test1_g4-b1-i13 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s9 Test1_g4-b1-i18 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s10 Test1_g4-b1-i38 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s9 Test1_g4-b1-i49 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s12 Test1_g2-b3-s14 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s1 Test1_g4-b1-i2 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b2-s5 Test1_g4-b1-i31 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b2-s4 Test1_g4-b1-i8 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b1-i1 Test1_g2-b3-s13 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b2-s1 Test1_g4-b1-i28 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s15 Test1_g4-b1-i46 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s7 Test1_g4-b1-i6 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b2-s1 Test1_g4-b1-i7 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b1-s5 Test1_g4-b1-i44 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b1-s4 Test1_g3-b15-i1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s8 Test1_g2-b9-i1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b1-s4 Test1_g2-b3-s17 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s6 Test1_g3-b2-i1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s2 Test1_g3-b24-i1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s10 Test1_g2-b11-i1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b1-s5 Test1_g2-b9-i1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s4 Test1_g2-b12-i1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b3-s7 Test1_g3-b13-i1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
Test1_g2-b2-s3 Test1_g3-b1-i1 UN 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
